nFrameNo,nDetectId,nObjectType,nRealXPos[mm],nDistance[mm],nWidth[mm],nHeight[mm],nXSpeed,nZSpeed,nXAcceleration,nZAcceleration,,,image_xs[pixel],image_ys[pixel],image_width[pixel],image_height[pixel]
29,46,0,1367,10119,2009,2227,0,0,0,0,,,120,336,15,32
29,78,0,-8482,39950,501,2174,0,0,0,0,,,49,106,4,3
29,105,0,-1860,19688,671,2201,0,0,0,0,,,99,212,6,10
29,130,0,-11391,59893,465,1146,0,0,0,0,,,25,70,5,5
30,0,1001,1446,6170,845,2077,0,0,0,0,,,124,406,10,32
30,51,0,1003,10165,1550,2212,0,0,0,0,,,118,336,14,34
30,78,0,-2184,21110,2121,2234,0,0,0,0,,,88,169,21,53
31,10,0,1320,6081,1043,2436,0,0,0,0,,,122,406,12,33
31,52,0,-2140,21179,1456,2216,0,0,0,0,,,92,172,15,44
31,98,0,-53,14821,602,1932,0,0,0,0,,,114,257,5,13
31,103,0,-4615,34759,686,1725,0,0,0,0,,,79,115,5,13
31,110,0,-11630,61735,590,923,0,0,0,0,,,24,67,5,6
31,111,0,-7691,31215,336,1120,0,0,0,0,,,55,135,4,5
31,117,0,-4979,29313,420,385,0,0,0,0,,,76,144,4,5
32,11,0,3282,12822,705,697,0,0,0,0,,,139,279,9,28
32,38,0,912,10109,1614,2043,0,0,0,0,,,118,336,12,45
32,50,0,-2168,21204,1369,2219,0,0,0,0,,,92,181,15,33
32,59,0,-70,14681,632,1738,0,0,0,0,,,114,260,5,12
33,25,0,-4857,14224,1046,1675,0,0,0,0,,,71,255,11,35
34,114,0,-4832,14003,829,1641,0,0,0,0,,,75,270,7,11
35,105,0,-12754,67274,523,925,0,0,0,0,,,14,62,5,4
36,101,0,-7033,28545,307,1041,0,0,0,0,,,60,146,5,11
36,116,0,-1884,19333,971,2196,0,0,0,0,,,98,215,8,11
37,38,0,-2345,21549,1701,2229,0,0,0,0,,,91,161,16,54
37,84,0,-12483,38368,390,2065,0,0,0,0,,,19,110,4,4
39,93,0,-925,13814,413,1635,0,0,0,0,,,108,276,4,4
40,57,0,-13384,70596,506,886,0,0,0,0,,,9,59,5,4
41,83,0,-2249,21616,2197,2223,0,0,0,0,,,88,163,21,54
41,96,0,-8485,40770,682,1365,0,0,0,0,,,48,99,7,9
41,99,0,-7515,20737,409,1463,0,0,0,0,,,57,201,4,11
41,114,0,-942,13818,429,1710,0,0,0,0,,,108,276,4,4
42,93,0,-8640,23606,564,1764,0,0,0,0,,,48,176,5,9
42,121,0,-4323,14399,499,1541,0,0,0,0,,,81,267,5,5
43,58,0,-2138,20905,1325,2213,0,0,0,0,,,93,182,13,36
